연월일,시분초,온도,습도,강수량,풍향
2024-04-08,14-58-27,23℃,습도35%,강수량0mm,풍향 동남동 0.7 m/s
2024-04-08,14-58-28,23℃,습도35%,강수량0mm,풍향 동남동 0.7 m/s
2024-04-08,14-58-29,23℃,습도35%,강수량0mm,풍향 동남동 0.7 m/s
2024-04-08,14-58-30,23℃,습도35%,강수량0mm,풍향 동남동 0.7 m/s
2024-04-08,14-58-32,23℃,습도35%,강수량0mm,풍향 동남동 0.7 m/s
2024-04-08,14-58-33,23℃,습도35%,강수량0mm,풍향 동남동 0.7 m/s
2024-04-08,14-58-34,23℃,습도35%,강수량0mm,풍향 동남동 0.7 m/s
2024-04-08,14-58-35,23℃,습도35%,강수량0mm,풍향 동남동 0.7 m/s
2024-04-08,14-58-36,23℃,습도35%,강수량0mm,풍향 동남동 0.7 m/s
2024-04-08,14-58-37,23℃,습도35%,강수량0mm,풍향 동남동 0.7 m/s
